new_agreementnumber	new_effectivedate	new_expirydate	new_settlementdate	new_jurprov	new_jurisdictioncode	new_employeecount	new_naicscodeid_firsttwodigit	new_publicprivate	new_naicscodeid	new_summaryreportavailabilityindicator	new_province	new_provinceenglish	new_provincefrench	new_citynameenglish	new_citynamefrench	new_cityprovincenameenglish	new_cityprovincenamefrench	new_unionid	new_unionnameenglish	new_unionnamefrench	new_affiliationtext	new_unionacronymenglish	new_unionacronymfrench	new_noccodeid	new_name_e	new_name_f	new_companyofficialnameeng	new_companyofficialnamefra	new_currentagreementindicator
14356-02	2012-12-05	2017-12-04	2013-01-25	F20	20	210	49	Private	492110	Yes	99	Multiprovince		Winnipeg	Winnipeg	Manitoba	Manitoba	681	Canadian Union of Postal Workers	Syndicat des travailleurs et travailleuses des postes	3	CLC	CTC	7514	7514 - Delivery and courier service drivers	7514 - Chauffeurs-livreurs/chauffeuses-livreuses - services de livraison et de messagerie	Dynamex Canada Corp	Dynamex Canada Corp	Active
14359-02	2015-01-01	2019-12-31		F20	20	47	48	Private	488210	No	99	Multiprovince		Province wide	à l'échelle de la province	Quebec	Québec	489	United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers Intl. Union	Synd. intl. des travailleurs unis en métallurgie, papier, foresterie, caoutchouc, fabrication, énergie, services, etc.	1	AFL-CIO/CLC	FAT-COI/CTC	7361	7361 - Railway and yard locomotive engineers	7361 - Mécaniciens/mécaniciennes de locomotive et de cour de triage	Central Maine & Québec Railway	Chemin de fer du Centre du Maine et du Québec Canada inc.	Current
14360-02	2013-01-01	2017-12-31		F20	20	22	48	Private	48831	No	10	Newfoundland and Labrador		St. John's	St. John's	Newfoundland and Labrador	Terre-Neuve-et-Labrador	163	International Union of Operating Engineers	Union internationale des opérateurs-ingénieurs	1	AFL-CIO/CLC	FAT-COI/CTC	751	751 - Motor vehicle and transit drivers	751 - Conducteurs/conductrices de véhicules automobiles et de véhicules de transport en commun	Oceanex (1997) Inc. (Company Drivers)	Oceanex (1997) Inc.	Active
14361-02	2014-04-01	2017-03-31	2014-04-01	F20	20	27	62	Public	62419	No	61	Northwest Territories		Yellowknife	Yellowknife	Northwest Territories	Territoires du Nord-Ouest	599	Public Service Alliance of Canada	Alliance de la Fonction publique du Canada	3	CLC	CTC	4152	4152 - Social workers	4152 - Travailleurs sociaux/travailleuses sociales	Salvation Army Yellowknife	Salvation Army Yellowknife	Active
14362-02	2016-01-01	2019-12-31	2016-01-01	F20	20	50	52	Private	52213	No	59	British Columbia		Vancouver	Vancouver	British Columbia	Colombie-Britannique	581	British Columbia Government and Service Employees' Union	Syndicat des fonctionnaires provinciaux et de service de la Colombie-Britannique	3	CLC	CTC	1221	1221 - Administrative officers	1221 - Agents/agentes d'administration	Vancouver City Saving Credit Union (VanCity)	Vancouver City Saving Credit Union (VanCity)	Current
14363-03	2015-09-21	2021-09-20	2015-07-15	F20	20	130	48	Private	485510	Yes	35	Ontario		Mississauga	Mississauga	Ontario	Ontario	420	Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7511	7511 - Transport truck drivers	7511 - Conducteurs/conductrices de camions de transport	Pro-Source / Young Transportation System	Pro-Source / Young Transportation System	Current
14365-02	2013-04-01	2017-03-31	2013-06-10	F20	20	61	49	Private	492110	No	99	Multiprovince		Province wide	à l'échelle de la province	Saskatchewan	Saskatchewan	383	National Automobile, Aerospace, Transportation and General Workers Union of Canada (CAW Canada)	Synd. nat. de l'automobile, de l'aérospatiale, du transport et des autres trav. et travailleuses du Canada (TCA Canada)	3	CLC	CTC	7511	7511 - Transport truck drivers	7511 - Conducteurs/conductrices de camions de transport	Loomis Express Canada	Loomis Express Canada	Active
14371-03	2015-09-01	2018-08-31	2016-11-30	F20	20	860	48	Private	488119	Yes	59	British Columbia		Vancouver	Vancouver	British Columbia	Colombie-Britannique	270	International Association of Machinists and Aerospace Workers	Association internationale des machinistes et des travailleurs et travailleuses de l'aérospatiale	1	AFL-CIO/CLC	FAT-COI/CTC	7534	7534 - Air transport ramp attendants	7534 - Agents/agentes de piste dans le transport aérien	Swissport Canada Handling Inc. - Vancouver International Airport	Swissport Canada Handling Inc. - Vancouver International Airport	Current
14372-02	2015-10-01	2020-09-30	2015-12-01	F20	20	16	48	Private	488310	No	59	British Columbia		Port Alberni	Port Alberni	British Columbia	Colombie-Britannique	257	International Longshore and Warehouse Union Canada	International Longshore and Warehouse Union Canada	3	CLC	CTC	1411	1411 - General office support workers	1411 - Employés de soutien de bureau généraux/employées de soutien de bureau générales	Port Alberni Port Authority	L'Administration portuaire de Port Alberni	Current
14376-02	2016-01-01	2019-12-31	2017-06-19	F20	20	6	48	Private	48111	No	24	Quebec		Gatineau	Gatineau	Quebec	Québec	543	Fédération des employées et employés de services publics inc.	Fédération des employées et employés de services publics inc.	4	CSN	CSN	1211	1211 - Supervisors, general office and administrative support workers	1211 - Superviseurs/superviseures de commis de bureau et du personnel de soutien administratif	Aéroport Exécutif de Gatineau - Ottawa	Aéroport Exécutif de Gatineau - Ottawa	Current
